"id_user";"id_address"
"1";"2"
"2";"20"
"3";"16"
"4";"11"
"5";"17"
"6";"16"
"7";"4"
"8";"20"
"9";"17"
"10";"20"
"11";"14"
"12";"2"
"13";"4"
"14";"1"
"15";"18"
"16";"16"
"17";"1"
"18";"9"
"19";"12"
"20";"19"
"21";"12"
"22";"8"
"23";"7"
"24";"0"
"25";"1"
"26";"2"
"27";"7"
"28";"5"
"29";"6"
"30";"11"
"31";"8"
"32";"9"
"33";"9"
"34";"14"
"35";"15"
"36";"16"
"37";"12"
"38";"14"
"39";"0"
"40";"20"
"41";"3"
"42";"15"
"43";"12"
"44";"8"
"45";"6"
"46";"2"
"47";"9"
"48";"9"
"49";"3"
"50";"12"
"51";"1"
"52";"17"
"53";"14"
"54";"10"
"55";"7"
"56";"17"
"57";"15"
"58";"18"
"59";"9"
"60";"18"
"61";"7"
"62";"17"
"63";"18"
"64";"16"
"65";"10"
"66";"6"
"67";"0"
"68";"16"
"69";"8"
"70";"5"
"71";"7"
"72";"10"
"73";"11"
"74";"12"
"75";"15"
"76";"19"
"77";"20"
"78";"4"
"79";"14"
"80";"12"
"81";"11"
"82";"4"
"83";"5"
"84";"10"
"85";"3"
"86";"0"
"87";"0"
"88";"11"
"89";"8"
"90";"7"
"91";"6"
"92";"7"
"93";"7"
"94";"6"
"95";"3"
"96";"2"
"97";"6"
"98";"17"
"99";"2"
"100";"10"
"101";"5"
"102";"14"
"103";"16"
"104";"3"
"105";"13"
"106";"4"
"107";"0"
"108";"8"
"109";"5"
"110";"4"
"111";"7"
"112";"13"
"113";"14"
"114";"12"
"115";"14"
"116";"12"
"117";"7"
"118";"8"
"119";"5"
"120";"5"
"121";"20"
"122";"13"
"123";"16"
"124";"6"
"125";"20"
"126";"0"
"127";"4"
"128";"13"
"129";"0"
"130";"19"
"131";"8"
"132";"13"
"133";"4"
"134";"15"
"135";"6"
"136";"8"
"137";"15"
"138";"10"
"139";"6"
"140";"6"
"141";"17"
"142";"8"
"143";"3"
"144";"0"
"145";"8"
"146";"6"
"147";"10"
"148";"10"
"149";"0"
"150";"3"
"151";"18"
"152";"10"
"153";"19"
"154";"1"
"155";"8"
"156";"9"
"157";"11"
"158";"3"
"159";"19"
"160";"18"
"161";"8"
"162";"14"
"163";"11"
"164";"3"
"165";"18"
"166";"3"
"167";"13"
"168";"12"
"169";"0"
"170";"8"
"171";"20"
"172";"5"
"173";"8"
"174";"10"
"175";"1"
"176";"5"
"177";"2"
"178";"13"
"179";"5"
"180";"0"
"181";"9"
"182";"20"
"183";"18"
"184";"4"
"185";"3"
"186";"5"
"187";"4"
"188";"1"
"189";"7"
"190";"17"
"191";"1"
"192";"13"
"193";"5"
"194";"9"
"195";"18"
"196";"4"
"197";"6"
"198";"16"
"199";"12"
"200";"4"
"201";"12"
"202";"1"
"203";"0"
"204";"20"
"205";"8"
"206";"13"
"207";"9"
"208";"7"
"209";"15"
"210";"7"
"211";"14"
"212";"10"
"213";"16"
"214";"0"
"215";"4"
"216";"20"
"217";"5"
"218";"4"
"219";"17"
"220";"8"
"221";"18"
"222";"18"
"223";"16"
"224";"20"
"225";"15"
"226";"11"
"227";"8"
"228";"4"
"229";"10"
"230";"14"
"231";"6"
"232";"1"
"233";"10"
"234";"19"
"235";"14"
"236";"2"
"237";"14"
"238";"5"
"239";"18"
"240";"10"
"241";"19"
"242";"0"
"243";"2"
"244";"7"
"245";"11"
"246";"2"
"247";"13"
"248";"20"
"249";"4"
"250";"0"
"251";"19"
"252";"12"
"253";"0"
"254";"14"
"255";"4"
"256";"2"
"257";"5"
"258";"13"
"259";"15"
"260";"8"
"261";"16"
"262";"16"
"263";"2"
"264";"2"
"265";"5"
"266";"17"
"267";"7"
"268";"15"
"269";"0"
"270";"10"
"271";"16"
"272";"5"
"273";"8"
"274";"13"
"275";"3"
"276";"18"
"277";"4"
"278";"14"
"279";"1"
"280";"11"
"281";"20"
"282";"19"
"283";"14"
"284";"2"
"285";"17"
"286";"8"
"287";"10"
"288";"7"
"289";"20"
"290";"19"
"291";"3"
"292";"18"
"293";"8"
"294";"12"
"295";"20"
"296";"12"
"297";"14"
"298";"2"
"299";"4"
"300";"14"
"301";"17"
"302";"6"
"303";"1"
"304";"9"
"305";"13"
"306";"9"
"307";"7"
"308";"15"
"309";"16"
"310";"11"
"311";"14"
"312";"14"
"313";"1"
"314";"18"
"315";"12"
"316";"14"
"317";"2"
"318";"5"
"319";"2"
"320";"8"
"321";"6"
"322";"3"
"323";"16"
"324";"17"
"325";"4"
"326";"3"
"327";"18"
"328";"17"
"329";"5"
"330";"0"
"331";"1"
"332";"1"
"333";"0"
"334";"10"
"335";"6"
"336";"1"
"337";"11"
"338";"19"
"339";"9"
"340";"8"
"341";"16"
"342";"13"
"343";"6"
"344";"15"
"345";"7"
"346";"3"
"347";"9"
"348";"11"
"349";"8"
"350";"11"
"351";"16"
"352";"5"
"353";"0"
"354";"19"
"355";"13"
"356";"18"
"357";"4"
"358";"17"
"359";"13"
"360";"17"
"361";"13"
"362";"0"
"363";"3"
"364";"5"
"365";"5"
"366";"0"
"367";"3"
"368";"8"
"369";"15"
"370";"19"
"371";"19"
"372";"15"
"373";"18"
"374";"10"
"375";"17"
"376";"9"
"377";"6"
"378";"3"
"379";"11"
"380";"8"
"381";"11"
"382";"9"
"383";"1"
"384";"9"
"385";"0"
"386";"15"
"387";"2"
"388";"5"
"389";"14"
"390";"8"
"391";"6"
"392";"14"
"393";"10"
"394";"12"
"395";"9"
"396";"2"
"397";"8"
"398";"15"
"399";"7"
"400";"20"
"401";"13"
"402";"19"
"403";"3"
"404";"5"
"405";"0"
"406";"0"
"407";"5"
"408";"10"
"409";"17"
"410";"6"
"411";"4"
"412";"7"
"413";"16"
"414";"9"
"415";"11"
"416";"8"
"417";"1"
"418";"5"
"419";"1"
"420";"18"
"421";"15"
"422";"9"
"423";"13"
"424";"2"
"425";"8"
"426";"11"
"427";"8"
"428";"9"
"429";"19"
"430";"17"
"431";"0"
"432";"0"
"433";"16"
"434";"10"
"435";"4"
"436";"4"
"437";"18"
"438";"6"
"439";"0"
"440";"13"
"441";"13"
"442";"7"
"443";"6"
"444";"14"
"445";"2"
"446";"4"
"447";"16"
"448";"3"
"449";"15"
"450";"20"
"451";"1"
"452";"0"
"453";"11"
"454";"14"
"455";"2"
"456";"19"
"457";"5"
"458";"13"
"459";"1"
"460";"7"
"461";"19"
"462";"7"
"463";"15"
"464";"14"
"465";"6"
"466";"5"
"467";"2"
"468";"18"
"469";"13"
"470";"14"
"471";"16"
"472";"14"
"473";"13"
"474";"19"
"475";"12"
"476";"1"
"477";"3"
"478";"4"
"479";"17"
"480";"17"
"481";"7"
"482";"10"
"483";"6"
"484";"0"
"485";"8"
"486";"5"
"487";"18"
"488";"15"
"489";"20"
"490";"9"
"491";"10"
"492";"14"
"493";"15"
"494";"9"
"495";"8"
"496";"18"
"497";"8"
"498";"17"
"499";"19"
"500";"7"
"501";"20"
"502";"12"
"503";"4"
"504";"11"
"505";"5"
"506";"15"
"507";"17"
"508";"3"
"509";"4"
"510";"10"
"511";"3"
"512";"19"
"513";"3"
"514";"13"
"515";"13"
"516";"15"
"517";"15"
"518";"14"
"519";"0"
"520";"18"
"521";"7"
"522";"20"
"523";"7"
"524";"6"
"525";"3"
"526";"11"
"527";"6"
"528";"13"
"529";"0"
"530";"0"
"531";"18"
"532";"5"
"533";"1"
"534";"3"
"535";"17"
"536";"20"
"537";"3"
"538";"0"
"539";"20"
"540";"13"
"541";"5"
"542";"15"
"543";"17"
"544";"1"
"545";"16"
"546";"13"
"547";"14"
"548";"16"
"549";"8"
"550";"0"
"551";"4"
"552";"2"
"553";"10"
"554";"5"
"555";"3"
"556";"3"
"557";"9"
"558";"5"
"559";"17"
"560";"11"
"561";"16"
"562";"4"
"563";"17"
"564";"6"
"565";"15"
"566";"14"
"567";"7"
"568";"20"
"569";"8"
"570";"16"
"571";"9"
"572";"3"
"573";"15"
"574";"11"
"575";"7"
"576";"5"
"577";"15"
"578";"19"
"579";"18"
"580";"13"
"581";"13"
"582";"0"
"583";"4"
"584";"6"
"585";"15"
"586";"9"
"587";"6"
"588";"2"
"589";"20"
"590";"12"
"591";"17"
"592";"6"
"593";"18"
"594";"11"
"595";"18"
"596";"3"
"597";"2"
"598";"4"
"599";"5"
"600";"7"
"601";"9"
"602";"10"
"603";"13"
"604";"7"
"605";"19"
"606";"17"
"607";"3"
"608";"15"
"609";"9"
"610";"17"
"611";"11"
"612";"1"
"613";"11"
"614";"12"
"615";"19"
"616";"7"
"617";"10"
"618";"9"
"619";"15"
"620";"9"
"621";"16"
"622";"19"
"623";"12"
"624";"5"
"625";"20"
"626";"12"
"627";"6"
"628";"6"
"629";"10"
"630";"18"
"631";"5"
"632";"0"
"633";"13"
"634";"2"
"635";"2"
"636";"3"
"637";"3"
"638";"14"
"639";"11"
"640";"10"
"641";"7"
"642";"20"
"643";"7"
"644";"1"
"645";"18"
"646";"17"
"647";"19"
"648";"1"
"649";"8"
"650";"12"
"651";"16"
"652";"20"
"653";"3"
"654";"9"
"655";"1"
"656";"17"
"657";"19"
"658";"14"
"659";"2"
"660";"2"
"661";"3"
"662";"15"
"663";"3"
"664";"2"
"665";"4"
"666";"9"
"667";"3"
"668";"10"
"669";"12"
"670";"15"
"671";"0"
"672";"3"
"673";"12"
"674";"12"
"675";"20"
"676";"8"
"677";"1"
"678";"10"
"679";"14"
"680";"0"
"681";"9"
"682";"18"
"683";"7"
"684";"11"
"685";"0"
"686";"20"
"687";"19"
"688";"14"
"689";"19"
"690";"15"
"691";"14"
"692";"0"
"693";"12"
"694";"11"
"695";"10"
"696";"20"
"697";"16"
"698";"0"
"699";"18"
"700";"16"
"701";"20"
"702";"18"
"703";"0"
"704";"20"
"705";"14"
"706";"10"
"707";"1"
"708";"11"
"709";"1"
"710";"15"
"711";"0"
"712";"9"
"713";"19"
"714";"0"
"715";"12"
"716";"17"
"717";"4"
"718";"13"
"719";"14"
"720";"12"
"721";"7"
"722";"8"
"723";"20"
"724";"13"
"725";"9"
"726";"1"
"727";"1"
"728";"17"
"729";"18"
"730";"9"
"731";"0"
"732";"0"
"733";"15"
"734";"10"
"735";"4"
"736";"17"
"737";"10"
"738";"2"
"739";"14"
"740";"2"
"741";"14"
"742";"4"
"743";"20"
"744";"16"
"745";"9"
"746";"3"
"747";"15"
"748";"8"
"749";"1"
"750";"7"
"751";"17"
"752";"2"
"753";"12"
"754";"15"
"755";"6"
"756";"16"
"757";"14"
"758";"12"
"759";"2"
"760";"6"
"761";"9"
